,AR,SI,SG,VV,cs,mcs,smir,smer,bfio,bfin,bfic,bfia,bfie
0,Reflective,Sensory,Sequential,Visual,3,3,4,4,4,1,5,3,2
1,Reflective,Sensory,Sequential,Visual,4,4,3,3,1,2,4,3,4
2,Active,Sensory,Global,Visual,4,4,3,4,4,4,4,3,4
3,Active,Sensory,Sequential,Visual,4,2,3,3,5,2,5,2,4
4,Reflective,Sensory,Sequential,Visual,3,3,2,3,3,3,2,4,2
5,Active,Sensory,Global,Visual,2,2,3,3,2,4,3,4,3
6,Active,Sensory,Global,Verbal,4,4,3,3,4,4,4,4,4
7,Reflective,Sensory,Global,Visual,3,3,3,4,4,4,2,4,4
8,Active,Intuitive,Global,Visual,3,3,2,3,5,4,3,2,4
9,Active,Sensory,Global,Visual,3,3,4,4,4,1,4,3,5
10,Active,Sensory,Global,Visual,3,4,3,4,4,2,4,3,5
11,Active,Sensory,Global,Visual,3,3,2,4,5,5,3,4,2
12,Reflective,Sensory,Global,Visual,3,1,2,3,2,3,2,4,1
13,Reflective,Sensory,Sequential,Visual,3,3,3,4,2,2,4,2,2
14,Active,Intuitive,Global,Visual,4,4,3,3,4,2,4,3,4
15,Reflective,Sensory,Global,Visual,3,3,3,4,2,4,4,3,2
16,Active,Sensory,Global,Visual,3,2,3,3,2,3,2,4,2
17,Reflective,Sensory,Sequential,Visual,3,3,2,3,3,4,2,2,2
18,Reflective,Sensory,Global,Visual,4,3,2,3,4,4,2,3,2
19,Active,Sensory,Sequential,Visual,4,3,2,3,4,4,2,2,2
20,Reflective,Intuitive,Global,Visual,3,3,3,4,2,4,2,2,2
21,Reflective,Intuitive,Global,Visual,3,3,3,4,4,2,4,4,3
22,Reflective,Sensory,Sequential,Visual,3,3,3,3,2,4,4,4,1
23,Reflective,Sensory,Sequential,Visual,3,2,4,3,2,2,4,4,2
24,Active,Sensory,Sequential,Visual,3,2,3,3,2,3,3,3,2
25,Active,Intuitive,Global,Visual,4,4,3,3,4,3,4,3,2
26,Reflective,Sensory,Sequential,Visual,4,3,3,4,4,4,4,3,3
27,Active,Sensory,Sequential,Visual,4,4,3,4,2,2,4,2,3
28,Active,Intuitive,Sequential,Visual,3,3,3,4,2,4,4,4,2
29,Reflective,Sensory,Global,Visual,4,4,4,4,4,2,4,2,3
30,Reflective,Intuitive,Global,Visual,4,3,3,4,3,4,4,3,2
31,Active,Sensory,Global,Visual,4,3,2,1,2,1,4,3,4
32,Active,Sensory,Sequential,Visual,3,3,4,4,2,4,5,4,4
33,Active,Intuitive,Global,Visual,3,4,4,4,5,1,4,4,5
34,Reflective,Sensory,Global,Visual,3,3,3,3,2,2,4,3,2
35,Reflective,Sensory,Global,Visual,4,5,4,4,5,2,5,4,2
36,Reflective,Sensory,Sequential,Visual,3,3,4,3,4,2,3,1,4
37,Active,Intuitive,Global,Visual,4,2,3,3,5,4,4,2,5
38,Active,Sensory,Sequential,Visual,3,3,3,4,4,3,4,4,3
39,Active,Intuitive,Global,Visual,3,3,3,4,4,3,3,4,4
40,Reflective,Sensory,Global,Visual,3,4,4,3,2,5,3,2,2
41,Active,Intuitive,Global,Visual,3,4,3,4,4,3,4,4,5
42,Active,Sensory,Sequential,Visual,4,4,3,3,3,2,4,2,4
43,Reflective,Sensory,Global,Verbal,4,3,3,3,5,4,4,4,2
44,Active,Sensory,Global,Visual,3,2,2,4,4,4,4,3,3
45,Active,Intuitive,Global,Visual,4,4,2,4,5,4,3,3,4
46,Active,Intuitive,Global,Visual,3,2,2,3,4,2,3,3,3
47,Reflective,Sensory,Sequential,Visual,3,4,4,3,3,4,4,2,2
48,Reflective,Sensory,Sequential,Visual,4,3,4,3,2,5,5,4,3
49,Active,Sensory,Global,Visual,4,4,4,3,1,2,3,3,4
50,Reflective,Sensory,Sequential,Visual,4,3,3,3,3,2,4,2,4
51,Reflective,Sensory,Global,Visual,2,4,3,4,4,2,4,3,2
52,Active,Intuitive,Global,Visual,4,4,3,3,4,2,4,3,3
53,Active,Sensory,Global,Visual,2,2,2,3,2,2,3,2,3
54,Active,Sensory,Global,Visual,3,3,3,4,4,2,2,4,4
55,Active,Sensory,Global,Visual,3,3,2,3,2,2,3,4,2
56,Active,Sensory,Global,Visual,3,3,3,4,4,2,4,3,4
57,Active,Sensory,Global,Visual,4,4,3,4,5,2,4,4,4
58,Active,Intuitive,Sequential,Visual,3,3,3,3,4,3,3,4,5
59,Active,Sensory,Sequential,Visual,3,3,3,3,2,3,4,2,4
60,Reflective,Sensory,Sequential,Visual,2,3,3,4,4,3,4,3,3
61,Reflective,Sensory,Sequential,Visual,3,4,4,3,2,4,4,4,2
62,Active,Sensory,Global,Visual,3,4,3,4,4,2,4,4,3
63,Reflective,Sensory,Sequential,Verbal,3,3,3,4,4,4,4,4,3
64,Active,Intuitive,Global,Visual,3,3,3,3,4,2,2,4,2
65,Active,Sensory,Sequential,Visual,3,3,4,3,3,2,4,5,3
66,Reflective,Sensory,Sequential,Visual,3,3,3,4,4,4,4,4,4
67,Active,Intuitive,Sequential,Visual,3,3,3,3,2,3,2,4,4
68,Active,Intuitive,Sequential,Visual,4,4,4,4,4,3,4,4,3
69,Reflective,Intuitive,Global,Visual,3,3,3,3,2,4,4,4,2
70,Active,Intuitive,Global,Verbal,3,3,3,3,4,3,3,4,4
71,Active,Sensory,Sequential,Visual,4,4,4,4,1,4,5,3,4
72,Active,Intuitive,Global,Visual,4,3,2,3,4,2,4,4,5
73,Reflective,Sensory,Sequential,Visual,3,3,3,3,3,2,4,4,2
74,Active,Sensory,Global,Visual,4,3,3,3,4,2,2,3,4
75,Reflective,Sensory,Sequential,Visual,3,3,3,4,4,2,4,3,2
76,Reflective,Sensory,Sequential,Visual,2,3,3,4,4,4,4,4,2
77,Reflective,Sensory,Global,Visual,3,3,3,3,2,2,3,4,2
78,Reflective,Sensory,Sequential,Visual,3,4,3,3,4,4,2,4,2
79,Active,Sensory,Global,Visual,3,3,4,4,3,2,4,4,2
80,Reflective,Sensory,Sequential,Visual,3,4,3,3,4,2,4,4,2
81,Reflective,Sensory,Global,Visual,4,4,4,2,4,4,3,3,1
82,Active,Intuitive,Sequential,Visual,2,3,3,4,4,2,5,5,4
83,Active,Sensory,Global,Visual,3,3,3,3,4,4,2,4,3
84,Reflective,Sensory,Global,Visual,3,3,3,3,2,3,4,2,2
85,Reflective,Sensory,Sequential,Visual,3,4,4,4,3,4,3,5,3
86,Active,Sensory,Sequential,Verbal,4,4,3,4,3,3,2,4,5
87,Active,Sensory,Global,Visual,3,4,3,4,4,2,4,2,4
88,Reflective,Sensory,Global,Visual,3,3,3,3,2,2,3,4,4
89,Active,Sensory,Global,Visual,2,2,3,4,2,4,4,4,3
90,Reflective,Sensory,Sequential,Visual,2,3,3,3,4,4,4,4,2
91,Active,Intuitive,Sequential,Visual,2,3,3,4,4,2,5,4,4
92,Reflective,Intuitive,Global,Visual,3,4,4,4,3,2,3,2,3
93,Active,Sensory,Global,Visual,3,3,3,4,2,4,3,5,4
94,Active,Sensory,Global,Visual,4,2,2,3,2,2,2,2,4
95,Reflective,Sensory,Global,Verbal,2,3,3,4,2,5,5,2,2
96,Reflective,Sensory,Sequential,Visual,3,3,3,4,3,3,3,2,4
97,Reflective,Sensory,Sequential,Visual,3,3,3,4,3,3,4,3,2
98,Active,Sensory,Sequential,Visual,4,3,3,4,2,4,4,4,4
99,Reflective,Sensory,Global,Visual,2,2,2,3,4,2,4,2,4
100,Reflective,Sensory,Global,Visual,4,2,2,2,4,4,2,2,1
101,Reflective,Sensory,Sequential,Visual,4,3,1,3,5,5,2,3,2
102,Reflective,Sensory,Sequential,Visual,3,3,2,3,3,3,4,3,2
103,Active,Sensory,Global,Visual,4,4,5,4,5,3,4,3,4
104,Reflective,Sensory,Sequential,Visual,3,4,3,3,4,3,3,2,3
105,Reflective,Sensory,Sequential,Visual,3,3,2,3,2,4,3,4,2
106,Active,Sensory,Global,Visual,3,3,3,3,4,4,5,4,4
107,Active,Sensory,Global,Visual,2,4,3,4,1,3,4,3,3
108,Active,Sensory,Global,Visual,4,4,4,4,4,1,3,3,4
109,Active,Sensory,Sequential,Visual,3,3,2,3,3,3,3,4,2
110,Active,Sensory,Global,Visual,2,3,3,3,3,3,3,3,3
111,Active,Sensory,Sequential,Visual,3,3,3,3,4,2,2,2,2
112,Active,Sensory,Global,Visual,4,3,3,3,4,3,2,3,3
113,Active,Sensory,Global,Visual,3,3,4,4,4,2,4,4,4
114,Active,Sensory,Global,Visual,3,3,3,3,4,2,3,3,3
115,Reflective,Sensory,Global,Verbal,3,3,3,3,4,2,3,4,4
116,Active,Sensory,Global,Visual,3,4,3,3,3,3,4,4,4
117,Active,Sensory,Sequential,Visual,3,2,3,4,2,4,4,4,3
118,Active,Sensory,Global,Visual,2,3,3,3,3,1,3,2,4
119,Reflective,Sensory,Sequential,Visual,2,3,2,3,4,4,4,2,2
120,Active,Intuitive,Global,Visual,4,3,3,4,2,4,4,4,4
121,Active,Sensory,Global,Visual,3,3,2,3,3,3,3,4,4
122,Active,Sensory,Sequential,Visual,3,4,3,5,1,3,2,4,2
123,Active,Sensory,Sequential,Visual,3,4,4,4,3,4,4,4,4
124,Active,Sensory,Global,Visual,4,4,3,3,4,4,2,2,1
125,Active,Sensory,Global,Verbal,3,3,3,4,3,3,3,3,3
126,Reflective,Sensory,Sequential,Verbal,3,2,3,4,3,4,4,4,2
127,Active,Sensory,Global,Visual,3,3,3,4,4,4,4,3,4
128,Active,Sensory,Global,Visual,2,3,3,3,4,4,2,2,4
129,Active,Sensory,Sequential,Visual,4,3,3,4,4,4,4,4,4
130,Active,Sensory,Sequential,Visual,4,3,2,3,4,3,2,2,2
131,Active,Sensory,Sequential,Verbal,3,4,3,4,2,4,4,2,4
132,Active,Sensory,Sequential,Visual,3,3,3,4,2,3,4,3,4
133,Active,Intuitive,Global,Visual,3,3,3,4,3,3,3,4,4
134,Active,Sensory,Global,Visual,3,3,2,3,2,3,2,4,5
135,Active,Intuitive,Global,Visual,3,3,2,3,4,2,3,2,5
136,Active,Sensory,Global,Visual,3,4,3,4,4,2,4,4,4
137,Reflective,Sensory,Sequential,Visual,3,3,2,3,4,3,2,4,1
138,Reflective,Sensory,Global,Visual,2,3,3,3,2,5,4,4,2
139,Active,Sensory,Global,Visual,3,3,2,3,2,4,2,3,4
140,Active,Intuitive,Global,Visual,3,3,3,3,4,3,3,4,4
141,Reflective,Intuitive,Global,Visual,3,3,3,3,4,2,2,2,4
142,Reflective,Sensory,Sequential,Visual,3,4,3,4,3,2,4,4,4
143,Active,Sensory,Sequential,Visual,2,3,3,3,2,2,3,3,4
144,Active,Sensory,Sequential,Visual,2,3,2,4,3,3,3,2,3
145,Reflective,Sensory,Sequential,Visual,3,2,3,3,4,4,2,4,4
146,Active,Intuitive,Global,Visual,3,3,3,3,5,2,3,3,4
147,Reflective,Sensory,Sequential,Visual,2,4,3,3,4,4,3,2,2
148,Reflective,Intuitive,Global,Visual,4,3,3,4,5,4,3,4,2
149,Reflective,Sensory,Sequential,Verbal,3,3,3,3,2,4,2,2,4
150,Active,Sensory,Global,Visual,3,3,3,4,4,2,3,4,3
151,Reflective,Sensory,Sequential,Visual,3,3,3,3,2,2,4,2,2
152,Reflective,Sensory,Global,Visual,2,2,3,3,5,2,2,3,1
153,Reflective,Intuitive,Sequential,Visual,3,3,3,3,4,4,3,4,3
154,Active,Intuitive,Global,Visual,3,4,2,3,2,4,2,2,4
155,Active,Sensory,Sequential,Visual,3,3,3,4,3,3,3,4,4
156,Reflective,Intuitive,Global,Visual,4,3,2,2,2,4,2,2,4
157,Active,Sensory,Global,Visual,3,3,3,3,2,2,2,4,2
158,Reflective,Sensory,Global,Visual,3,3,3,3,1,4,2,2,2
159,Active,Sensory,Sequential,Visual,3,2,2,4,2,4,2,2,4
160,Reflective,Sensory,Sequential,Visual,3,3,3,3,2,2,2,4,4
161,Active,Sensory,Global,Visual,3,3,3,4,3,3,2,4,2
162,Active,Sensory,Sequential,Visual,3,3,3,3,3,2,4,4,3
163,Active,Sensory,Global,Visual,3,3,2,4,1,3,2,3,2
164,Active,Sensory,Global,Visual,3,3,3,3,4,2,2,4,5
165,Active,Sensory,Sequential,Verbal,3,3,3,3,2,4,3,2,2
166,Reflective,Sensory,Sequential,Visual,3,3,2,4,4,5,3,2,3
167,Reflective,Sensory,Sequential,Visual,3,3,3,3,3,4,4,4,2
168,Active,Sensory,Global,Visual,3,2,2,3,2,4,4,4,4
169,Reflective,Sensory,Global,Visual,3,3,3,3,4,2,2,2,4
170,Reflective,Intuitive,Sequential,Visual,3,4,3,4,2,2,3,4,2
171,Active,Sensory,Global,Visual,4,4,4,4,2,4,4,3,2
172,Active,Sensory,Sequential,Visual,3,3,4,4,4,1,2,4,5
173,Reflective,Sensory,Global,Visual,4,3,3,3,4,4,4,4,2
174,Reflective,Sensory,Sequential,Visual,3,3,3,4,2,4,4,4,3
175,Active,Sensory,Global,Visual,3,3,3,3,4,2,2,4,2
176,Active,Sensory,Sequential,Visual,4,3,2,4,4,5,2,4,5
177,Active,Sensory,Sequential,Visual,3,3,2,3,4,2,4,2,4
178,Active,Sensory,Global,Visual,3,3,2,3,4,2,2,2,2
179,Reflective,Intuitive,Global,Visual,3,3,2,3,4,1,2,4,2
180,Active,Sensory,Sequential,Visual,3,3,3,3,2,2,2,4,4
181,Active,Sensory,Global,Visual,2,3,3,3,4,4,4,4,2
182,Reflective,Sensory,Global,Visual,3,3,3,3,2,4,4,3,2
183,Active,Sensory,Sequential,Visual,3,3,3,3,4,2,2,4,4
184,Active,Sensory,Global,Visual,4,3,3,3,4,4,3,4,4
185,Active,Sensory,Sequential,Visual,4,4,4,4,4,3,2,4,2
186,Active,Sensory,Global,Visual,2,2,3,3,4,4,3,2,1
187,Active,Sensory,Sequential,Visual,3,3,3,3,4,3,2,2,4
188,Active,Sensory,Sequential,Visual,3,3,3,3,4,2,4,4,3
189,Reflective,Intuitive,Sequential,Visual,2,2,2,3,5,3,3,4,2
190,Active,Sensory,Sequential,Visual,4,4,3,4,3,2,2,2,4
191,Reflective,Sensory,Sequential,Visual,2,3,3,4,2,3,2,3,4
192,Reflective,Intuitive,Global,Visual,3,3,3,3,4,4,2,4,2
193,Active,Sensory,Global,Visual,3,3,3,4,3,4,2,3,4
194,Active,Sensory,Global,Visual,3,3,2,3,2,2,2,3,3
195,Reflective,Sensory,Global,Visual,4,3,4,3,4,2,3,2,2
196,Active,Sensory,Global,Visual,4,3,2,3,2,2,2,3,4
197,Active,Sensory,Sequential,Visual,3,3,2,3,4,2,3,3,3
198,Reflective,Sensory,Sequential,Visual,4,3,4,4,4,3,4,2,4
199,Reflective,Sensory,Sequential,Visual,3,3,3,4,2,3,4,2,3
200,Active,Sensory,Global,Visual,3,4,4,3,4,2,4,4,5
201,Reflective,Sensory,Sequential,Visual,3,4,3,3,2,3,3,4,4
202,Active,Sensory,Global,Visual,3,3,3,3,3,4,2,4,4
203,Active,Sensory,Sequential,Visual,4,4,3,3,2,4,3,3,4
204,Active,Intuitive,Global,Visual,3,3,3,4,4,2,4,3,4
205,Active,Sensory,Global,Visual,2,2,3,3,2,2,2,4,4
206,Active,Sensory,Sequential,Visual,3,3,3,4,3,4,3,2,5
207,Active,Sensory,Sequential,Visual,3,3,3,4,4,4,4,3,5
208,Reflective,Sensory,Global,Verbal,3,3,3,4,2,2,4,4,2
209,Active,Sensory,Sequential,Visual,3,3,3,4,2,2,3,3,4
210,Active,Sensory,Sequential,Visual,3,3,3,4,4,2,4,4,4
211,Active,Sensory,Global,Visual,3,3,3,4,2,1,4,2,5
212,Active,Intuitive,Global,Visual,4,4,4,3,3,2,4,4,4
213,Reflective,Intuitive,Sequential,Visual,3,3,3,3,3,3,4,4,2
214,Active,Sensory,Global,Visual,3,3,2,3,3,3,2,4,3
215,Active,Sensory,Sequential,Visual,2,2,3,2,3,5,3,4,3
216,Active,Sensory,Sequential,Visual,3,3,4,3,4,2,3,2,4
217,Active,Sensory,Sequential,Visual,2,2,2,2,2,2,2,3,2
218,Active,Sensory,Sequential,Visual,3,4,4,3,2,4,4,4,4
219,Active,Sensory,Global,Visual,4,4,3,3,4,2,2,4,3
220,Reflective,Intuitive,Global,Visual,3,4,4,3,2,4,3,4,2
221,Active,Sensory,Global,Verbal,3,4,4,4,2,2,5,4,3
222,Reflective,Intuitive,Global,Visual,2,3,3,2,2,4,3,2,4
223,Reflective,Intuitive,Sequential,Visual,2,3,3,2,2,3,3,4,2
224,Active,Sensory,Sequential,Visual,3,3,3,4,4,3,5,3,4
225,Active,Sensory,Sequential,Visual,3,3,3,3,2,2,4,4,4
226,Active,Sensory,Sequential,Visual,3,3,3,3,4,4,3,4,3
227,Reflective,Intuitive,Global,Visual,2,4,3,3,5,2,3,4,2
228,Active,Sensory,Global,Visual,3,3,3,4,4,4,3,3,4
229,Reflective,Intuitive,Sequential,Visual,2,3,2,2,2,2,3,4,4
230,Reflective,Intuitive,Global,Visual,3,3,3,3,1,4,3,2,4
231,Reflective,Intuitive,Sequential,Visual,3,3,4,4,3,4,3,4,4
232,Reflective,Intuitive,Global,Visual,3,3,3,4,4,1,4,4,4
233,Reflective,Intuitive,Global,Visual,3,3,3,3,3,2,4,4,4
234,Active,Sensory,Global,Visual,3,4,3,3,4,4,3,4,4
235,Reflective,Intuitive,Global,Visual,3,3,3,2,4,4,3,4,2
236,Active,Sensory,Global,Visual,3,3,3,3,3,4,3,4,4
237,Active,Sensory,Global,Visual,4,4,4,3,4,2,2,3,4
238,Reflective,Intuitive,Sequential,Visual,3,3,2,3,2,4,2,2,2
239,Active,Sensory,Global,Visual,1,3,3,3,3,3,3,3,3
240,Active,Sensory,Global,Visual,1,3,3,3,3,3,3,3,3
241,Active,Sensory,Global,Visual,1,3,3,3,3,3,3,3,3
242,Active,Sensory,Global,Visual,1,3,3,3,3,3,3,3,3
243,Active,Sensory,Global,Visual,1,3,3,3,3,3,3,3,3
244,Active,Sensory,Global,Visual,5,3,3,3,4,3,3,3,3
245,Active,Sensory,Global,Visual,5,3,3,3,4,3,3,3,3
246,Active,Sensory,Global,Visual,5,3,3,3,4,3,3,3,3
247,Active,Sensory,Global,Visual,5,3,3,3,4,3,3,3,3
248,Active,Sensory,Global,Visual,5,3,3,3,4,3,3,3,3
249,Active,Sensory,Global,Visual,3,3,3,3,3,3,1,3,3
250,Active,Sensory,Global,Visual,3,3,3,3,3,3,1,3,3
251,Active,Sensory,Global,Visual,3,3,3,3,3,3,1,3,3
252,Active,Sensory,Global,Visual,3,3,3,3,3,3,1,3,3
253,Active,Sensory,Global,Visual,3,3,3,3,3,3,1,3,3
